C:\Users\BIOMETRICS\Desktop\testRecordingTrigger.c3d



Time(ms):	EMG 9(uV):	
215.5	11.0780	
216.0	-0.6043	
216.5	-2.8199	
217.0	-3.2227	
217.5	0.2014	
218.0	3.8270	
218.5	3.6255	
219.0	8.2582	
219.5	4.6326	
220.0	9.8695	
220.5	13.6965	
221.0	12.4880	
221.5	11.4809	
222.0	13.8979	
222.5	-0.2014	
223.0	-2.2156	
223.5	5.0355	
224.0	-1.6114	
224.5	5.0355	
225.0	33.4356	
225.5	-6.4454	
226.0	1.6114	
226.5	-0.2014	
227.0	3.8270	
227.5	2.0142	
228.0	2.4170	
228.5	1.4099	
229.0	4.6326	
229.5	-8.6610	
230.0	-13.4951	
230.5	-13.2937	
231.0	-6.0426	
231.5	-0.2014	
232.0	4.2298	
232.5	9.6681	
233.0	13.4951	
233.5	21.1490	
234.0	17.1206	
234.5	8.2582	
235.0	5.8412	
235.5	0.6043	
236.0	-6.2440	
236.5	6.0426	
237.0	1.4099	
237.5	3.6255	
238.0	9.2653	
238.5	4.8341	
239.0	-1.8128	
239.5	1.8128	
240.0	15.1064	
240.5	4.2298	
241.0	-1.8128	
241.5	-4.2298	
242.0	-15.5093	
242.5	-11.4809	
243.0	-1.6114	
243.5	-3.0213	
244.0	-8.2582	
244.5	-8.8624	
245.0	-6.2440	
245.5	-11.4809	
246.0	-2.6184	
246.5	-3.8270	
247.0	-15.1064	
247.5	3.4241	
248.0	-1.2085	
248.5	-11.4809	
249.0	3.0213	
249.5	-8.6610	
250.0	8.6610	
250.5	1.8128	
251.0	1.4099	
251.5	8.2582	
252.0	18.3291	
252.5	-0.2014	
253.0	11.6823	
253.5	6.4454	
254.0	-3.8270	
254.5	2.6184	
255.0	1.2085	
255.5	3.6255	
256.0	0.2014	
256.5	9.0639	
257.0	8.0568	
257.5	5.2369	
258.0	-12.4880	
258.5	-10.8766	
259.0	-3.0213	
259.5	-11.0780	
260.0	-15.1064	
260.5	-4.0284	
261.0	-3.6255	
261.5	-8.0568	
262.0	-14.0993	
262.5	-10.8766	
263.0	-6.2440	
263.5	-7.4525	
264.0	-12.2866	
264.5	-1.4099	
265.0	-5.4383	
265.5	-7.0497	
266.0	6.6468	
266.5	-0.2014	
267.0	11.4809	
267.5	7.2511	
268.0	15.3078	
268.5	9.4667	
269.0	5.2369	
269.5	3.8270	
270.0	7.8553	
270.5	8.6610	
271.0	5.8412	
271.5	15.3078	
272.0	5.0355	
272.5	0.8057	
273.0	7.6539	
273.5	-4.2298	
274.0	-20.7462	
274.5	9.8695	
275.0	7.4525	
275.5	-7.4525	
276.0	0.4028	
276.5	-12.6894	
277.0	-14.5022	
277.5	-20.5447	
278.0	1.4099	
278.5	-7.4525	
279.0	-13.8979	
279.5	0.2014	
280.0	-16.9192	
280.5	-13.4951	
281.0	-11.8837	
281.5	-3.6255	
282.0	-4.0284	
282.5	-0.4028	
283.0	-7.2511	
283.5	-18.9334	
284.0	10.6752	
284.5	-1.4099	
285.0	-0.6043	
285.5	-17.7249	
286.0	-2.6184	
286.5	-22.3575	
287.0	-26.7887	
287.5	-7.8553	
288.0	-1.8128	
288.5	3.8270	
289.0	0.8057	
289.5	-7.8553	
290.0	-29.6086	
290.5	-18.3291	
291.0	-20.7462	
291.5	-17.9263	
292.0	-14.7036	
292.5	-26.3859	
293.0	-15.9121	
293.5	-13.6965	
294.0	-11.4809	
294.5	-3.2227	
295.0	-4.2298	
295.5	10.8766	
296.0	-2.4170	
296.5	-6.0426	
297.0	8.4596	
297.5	-1.0071	
298.0	-8.6610	
298.5	11.0780	
299.0	8.6610	
299.5	4.6326	
300.0	12.8908	
300.5	30.4143	
301.0	11.2795	
301.5	7.2511	
302.0	-6.2440	
302.5	1.0071	
303.0	8.6610	
303.5	4.0284	
304.0	7.4525	
304.5	3.2227	
305.0	-4.0284	
305.5	7.4525	
306.0	-11.6823	
306.5	5.6397	
307.0	4.2298	
307.5	-2.2156	
308.0	-1.8128	
308.5	1.0071	
309.0	10.0710	
309.5	-11.0780	
310.0	-6.6468	
310.5	-7.4525	
311.0	-15.5093	
311.5	-8.2582	
312.0	-2.0142	
312.5	-11.0780	
313.0	-20.3433	
313.5	-0.6043	
314.0	-2.6184	
314.5	-16.1135	
315.0	-10.2724	
315.5	-15.7107	
316.0	-19.1348	
316.5	-11.2795	
317.0	-5.6397	
317.5	-2.2156	
318.0	-3.0213	
318.5	-14.3008	
319.0	-2.0142	
319.5	-9.8695	
320.0	-16.7178	
320.5	-0.4028	
321.0	-6.2440	
321.5	-7.2511	
322.0	-0.4028	
322.5	-5.6397	
323.0	6.6468	
323.5	-0.2014	
324.0	13.8979	
324.5	6.6468	
325.0	0.2014	
325.5	-7.8553	
326.0	-2.0142	
326.5	0.0000	
327.0	3.4241	
327.5	-1.0071	
328.0	6.8482	
328.5	0.6043	
329.0	4.8341	
329.5	2.4170	
330.0	4.2298	
330.5	-7.6539	
331.0	0.2014	
331.5	-4.4312	
332.0	6.8482	
332.5	-0.4028	
333.0	0.8057	
333.5	-17.9263	
334.0	-3.6255	
334.5	-11.4809	
335.0	10.4738	
335.5	-7.0497	
336.0	-0.6043	
336.5	16.5164	
337.0	4.8341	
337.5	17.1206	
338.0	4.6326	
338.5	3.4241	
339.0	-1.6114	
339.5	-6.2440	
340.0	1.4099	
340.5	-17.1206	
341.0	-8.0568	
341.5	-12.4880	
342.0	-8.6610	
342.5	-15.7107	
343.0	-8.2582	
343.5	3.6255	
344.0	-1.0071	
344.5	17.9263	
345.0	3.6255	
345.5	6.4454	
346.0	2.2156	
346.5	11.6823	
347.0	0.2014	
347.5	6.6468	
348.0	-0.2014	
348.5	4.2298	
349.0	-4.4312	
349.5	-5.8412	
350.0	-3.0213	
350.5	-9.4667	
351.0	-10.2724	
351.5	-3.0213	
352.0	-11.8837	
352.5	-10.2724	
353.0	-4.0284	
353.5	-2.0142	
354.0	-2.4170	
354.5	3.8270	
355.0	-1.8128	
355.5	7.0497	
356.0	2.6184	
356.5	7.2511	
357.0	-3.4241	
357.5	-3.4241	
358.0	-5.6397	
358.5	-8.6610	
359.0	-7.6539	
359.5	-11.6823	
360.0	-14.0993	
360.5	4.0284	
361.0	2.6184	
361.5	-5.8412	
362.0	2.0142	
362.5	-3.4241	
363.0	-6.2440	
363.5	4.2298	
364.0	1.0071	
364.5	10.2724	
365.0	-0.6043	
365.5	3.2227	
366.0	-2.6184	
366.5	-8.0568	
367.0	2.0142	
367.5	-6.0426	
368.0	-4.4312	
368.5	-6.0426	
369.0	-9.4667	
369.5	2.2156	
370.0	3.2227	
370.5	-6.2440	
371.0	-1.8128	
371.5	9.2653	
372.0	3.8270	
372.5	1.0071	
373.0	7.6539	
373.5	-7.6539	
374.0	-4.4312	
374.5	-23.9689	
375.0	-3.8270	
375.5	-5.2369	
376.0	-5.0355	
376.5	-31.6228	
377.0	2.2156	
377.5	9.0639	
378.0	2.0142	
378.5	-4.8341	
379.0	-0.4028	
379.5	1.4099	
380.0	-8.2582	
380.5	1.8128	
381.0	-2.2156	
381.5	-0.2014	
382.0	-7.8553	
382.5	-23.3646	
383.0	-17.9263	
383.5	-6.2440	
384.0	8.0568	
384.5	-9.2653	
385.0	-11.4809	
385.5	6.0426	
386.0	1.4099	
386.5	-5.8412	
387.0	-14.5022	
387.5	-2.8199	
388.0	-9.6681	
388.5	-2.4170	
389.0	-1.0071	
389.5	4.6326	
390.0	-10.2724	
390.5	-0.2014	
391.0	-3.2227	
391.5	-17.5235	
392.0	-1.8128	
392.5	-6.6468	
393.0	1.8128	
393.5	-4.6326	
394.0	-6.4454	
394.5	0.4028	
395.0	-4.4312	
395.5	-0.2014	
396.0	-6.8482	
396.5	1.2085	
397.0	-3.6255	
397.5	-3.2227	
398.0	-11.4809	
398.5	-0.6043	
399.0	-8.4596	
399.5	-20.7462	
400.0	2.6184	
400.5	5.8412	
401.0	4.8341	
401.5	3.6255	
402.0	14.7036	
402.5	1.6114	
403.0	-5.6397	
403.5	1.6114	
404.0	-17.9263	
404.5	-6.0426	
405.0	3.4241	
405.5	-7.2511	
406.0	5.8412	
406.5	-4.8341	
407.0	12.8908	
407.5	13.6965	
408.0	6.8482	
408.5	2.0142	
409.0	10.6752	
409.5	3.6255	
410.0	-1.2085	
410.5	2.2156	
411.0	-2.2156	
411.5	-15.5093	
412.0	-9.2653	
412.5	-11.8837	
413.0	-6.8482	
413.5	-4.6326	
414.0	0.6043	
414.5	6.8482	
415.0	-3.4241	
415.5	1.4099	
416.0	-14.5022	
416.5	-5.4383	
417.0	-10.2724	
417.5	-3.0213	
418.0	-5.4383	
418.5	11.0780	
419.0	-1.4099	
419.5	-19.1348	
420.0	-11.6823	
420.5	-8.2582	
421.0	-4.6326	
421.5	-14.3008	
422.0	-6.6468	
422.5	-3.2227	
423.0	-17.9263	
423.5	-15.3078	
424.0	-5.8412	
424.5	-1.4099	
425.0	-9.4667	
425.5	1.0071	
426.0	-2.8199	
426.5	3.6255	
427.0	-6.6468	
427.5	0.6043	
428.0	-2.8199	
428.5	2.8199	
429.0	4.0284	
429.5	-3.8270	
430.0	-7.2511	
430.5	-10.4738	
431.0	-7.8553	
431.5	1.6114	
432.0	-5.0355	
432.5	5.2369	
433.0	-1.8128	
433.5	-2.2156	
434.0	2.6184	
434.5	-11.4809	
435.0	-7.0497	
435.5	-7.8553	
436.0	-14.7036	
436.5	-5.6397	
437.0	-4.6326	
437.5	-1.8128	
438.0	-6.6468	
438.5	13.0922	
439.0	-5.4383	
439.5	0.8057	
440.0	9.0639	
440.5	2.4170	
441.0	1.6114	
441.5	-10.6752	
442.0	-5.8412	
442.5	-3.4241	
443.0	-0.6043	
443.5	-3.2227	
444.0	13.4951	
444.5	-21.5518	
445.0	5.0355	
445.5	-7.8553	
446.0	-0.6043	
446.5	5.8412	
447.0	-5.8412	
447.5	-20.5447	
448.0	-4.2298	
448.5	-9.8695	
449.0	-3.0213	
449.5	5.0355	
450.0	2.8199	
450.5	5.6397	
451.0	0.8057	
451.5	5.2369	
452.0	-6.0426	
452.5	7.8553	
453.0	21.5518	
453.5	18.9334	
454.0	4.4312	
454.5	-3.8270	
455.0	-2.8199	
455.5	6.6468	
456.0	17.3220	
456.5	17.1206	
457.0	18.7320	
457.5	15.9121	
458.0	7.4525	
458.5	2.0142	
